Gadgets information
============================================================
0x000000000011442f : call qword ptr [r10] // 41ff12
0x0000000000076d5f : call qword ptr [r14] // 41ff16
0x00000000000ba867 : call qword ptr [r15] // 41ff17
0x000000000003272f : push rsi ; ret // 56c3
0x000000000003bc25 : push rsi ; retf // 56cb
0x00000000000f3656 : push rsi ; retf -1 // 56caffff
0x0000000000032729 : push rsp ; ret // 54c3
0x000000000016c1f4 : push rsp ; ret 0 // 54c20000
0x00000000000220b8 : push rsp ; ret 0x37 // 54c23700
0x00000000000eba14 : push rsp ; ret 0x8940 // 54c24089
0x00000000000e4d0f : push rsp ; retf // 54cb
0x00000000000ec189 : push rsp ; retf -0x74c0 // 54ca408b
0x000000000016f0c8 : push rsp ; retf -8 // 54caf8ff
0x000000000017d45c : push rsp ; retf 0 // 54ca0000
0x00000000000420f0 : push rsp ; retf 0x48f8 // 54caf848
0x000000000018d45c : push rsp ; retf 1 // 54ca0100
0x000000000015a76a : push rsp ; syscall // 540f05
0x00000000000a9a32 : pushfq ; ret 0xd009 // 9cc209d0
0x000000000016c32c : pushfq ; retf // 9ccb
0x000000000017d4a4 : pushfq ; retf 0 // 9cca0000
0x0000000000000937 : ret // c3
0x000000000001fc91 : ret 0 // c20000
0x000000000000e701 : ret 0x10 // c21000
0x00000000000007bf : ret 0x102 // c20201
0x000000000006663f : ret 0x107 // c20701
0x000000000004d82c : ret 0x11 // c21100
0x0000000000079212 : ret 0x110 // c21001
0x000000000004224c : ret 0x114d // c24d11
0x000000000008eb9c : ret 0x1175 // c27511
0x000000000004d7c2 : ret 0x11c2 // c2c211
0x000000000004a7e2 : ret 0x11f2 // c2f211
0x000000000003dc89 : ret 0x12 // c21200
0x000000000005aee6 : ret 0x12e9 // c2e912
0x000000000002c80f : ret 0x13 // c21300
0x000000000002fa06 : ret 0x1353 // c25313
0x00000000000f7d0a : ret 0x1376 // c27613
0x000000000010f502 : ret 0x1378 // c27813
0x000000000005e384 : ret 0x14 // c21400
0x00000000000aee5e : ret 0x144 // c24401
0x00000000000b456b : ret 0x1474 // c27414
0x000000000008f119 : ret 0x147c // c27c14
0x000000000005702b : ret 0x148 // c24801
0x00000000000a63f8 : ret 0x1489 // c28914
0x00000000000c385b : ret 0x148b // c28b14
0x00000000000752f2 : ret 0x149 // c24901
0x000000000005cdf5 : ret 0x14c // c24c01
0x00000000000899dc : ret 0x14d // c24d01
0x00000000000d27ab : ret 0x1589 // c28915
0x000000000001deb0 : ret 0x1616 // c21616
0x000000000001c830 : ret 0x1625 // c22516
0x00000000000f7b67 : ret 0x1676 // c27616
0x00000000000db197 : ret 0x1677 // c27716
0x000000000002352b : ret 0x1689 // c28916
0x00000000000bb92d : ret 0x16eb // c2eb16
0x000000000005f7ca : ret 0x17 // c21700
0x0000000000023da8 : ret 0x1789 // c28917
0x00000000000e9a43 : ret 0x17e8 // c2e817
0x000000000004cb53 : ret 0x18 // c21800
0x00000000000e0776 : ret 0x180 // c28001
0x00000000001469ec : ret 0x180f // c20f18
0x0000000000083915 : ret 0x1876 // c27618
0x00000000000835b5 : ret 0x1974 // c27419
0x000000000007b91c : ret 0x1976 // c27619
0x00000000000ab112 : ret 0x19e9 // c2e919
0x00000000000a4b9e : ret 0x19eb // c2eb19
0x000000000009d49e : ret 0x1a // c21a00
0x000000000008e95a : ret 0x1a74 // c2741a
0x0000000000028aab : ret 0x1a76 // c2761a
0x000000000015a91a : ret 0x1ad4 // c2d41a
0x00000000001590ad : ret 0x1b49 // c2491b
0x00000000000baabd : ret 0x1b8 // c2b801
0x0000000000105b21 : ret 0x1b9 // c2b901
0x00000000000c3de8 : ret 0x1bb // c2bb01
0x0000000000001bf5 : ret 0x1bb7 // c2b71b
0x00000000000aa1f1 : ret 0x1be // c2be01
0x000000000005bc6f : ret 0x1be8 // c2e81b
0x000000000007ad7f : ret 0x1bf // c2bf01
0x00000000000034af : ret 0x1bf9 // c2f91b
0x00000000000e0ef1 : ret 0x1c77 // c2771c
0x000000000008c480 : ret 0x1ceb // c2eb1c
0x000000000000fef8 : ret 0x1d // c21d00
